Platform                    ,,          8889.,OCL code,RYOFU MARU (Call sign JGQH; operation date: 06.1995 to present),
Cast/Tow Number             ,,             1.,,,
Bottom depth                ,,          5748.,meters,,
High resolution CTD - Bottle,,       1203992.,,,
probe_type                  ,,             7.,OCL_code,bottle/rosette/net,
Database origin             ,,            10.,WOD code,WOCE/CCHDO,
Originators flag set to use ,,             1.,WOD code,WOCE,
scale            ,Temperature,           103.,WOD code,Temperature: ITS-90,
Instrument       ,Temperature,             4.,WOD code,CTD: TYPE UNKNOWN,
scale               ,Salinity,           202.,WOD code,Salinity: PSS78,
CAST                        ,,       21954099,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,JP-47347       ,,,
Originators Cruise ID       ,,49UP20210920_1 ,,,
Latitude                    ,,        24.2655,decimal degrees,,
Longitude                   ,,       178.3893,decimal degrees,,
Year                        ,,           2021,,,
Month                       ,,             10,,,
Day                         ,,              4,,,
Time                        ,,          11.55,decimal hours (UT),,
Accession Number            ,,        248064.,NODC code,,
Platform                    ,,          8889.,OCL code,RYOFU MARU (Call sign JGQH; operation date: 06.1995 to present),
Cast/Tow Number             ,,             1.,,,
Bottom depth                ,,          5668.,meters,,
High resolution CTD - Bottle,,       1204025.,,,
probe_type                  ,,             7.,OCL_code,bottle/rosette/net,
Database origin             ,,            10.,WOD code,WOCE/CCHDO,
Originators flag set to use ,,             1.,WOD code,WOCE,
scale            ,Temperature,           103.,WOD code,Temperature: ITS-90,
Instrument       ,Temperature,             4.,WOD code,CTD: TYPE UNKNOWN,
CAST                        ,,       21954100,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,JP-47347       ,,,
Originators Cruise ID       ,,49UP20210920_1 ,,,
Latitude                    ,,        24.0005,decimal degrees,,
Longitude                   ,,       178.9567,decimal degrees,,
Year                        ,,           2021,,,
Month                       ,,             10,,,
Day                         ,,              4,,,
Time                        ,,          19.82,decimal hours (UT),,
Accession Number            ,,        248064.,NODC code,,
Platform                    ,,          8889.,OCL code,RYOFU MARU (Call sign JGQH; operation date: 06.1995 to present),
Cast/Tow Number             ,,             1.,,,
Bottom depth                ,,          5686.,meters,,
High resolution CTD - Bottle,,       1204044.,,,
probe_type                  ,,             7.,OCL_code,bottle/rosette/net,
Database origin             ,,            10.,WOD code,WOCE/CCHDO,
Originators flag set to use ,,             1.,WOD code,WOCE,
scale            ,Temperature,           103.,WOD code,Temperature: ITS-90,
Instrument       ,Temperature,             4.,WOD code,CTD: TYPE UNKNOWN,
scale               ,Salinity,           202.,WOD code,Salinity: PSS78,
CAST                        ,,       22542233,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,GB-13627       ,,,
Originators Cruise ID       ,,74EQ20220209   ,,,
Latitude                    ,,        27.1892,decimal degrees,,
Longitude                   ,,       -21.9916,decimal degrees,,
Year                        ,,           2022,,,
Month                       ,,              2,,,
Day                         ,,             16,,,
Time                        ,,          14.52,decimal hours (UT),,
Accession Number            ,,        248064.,NODC code,,
Platform                    ,,         10484.,OCL code,DISCOVERY (R/V;call sign 2FGX5;built 2013;IMO9588029),
Cast/Tow Number             ,,             1.,,,
Bottom depth                ,,          4864.,meters,,
High resolution CTD - Bottle,,       1352271.,,,
probe_type                  ,,             7.,OCL_code,bottle/rosette/net,
Database origin             ,,            10.,WOD code,WOCE/CCHDO,
Originators flag set to use ,,             1.,WOD code,WOCE,
scale            ,Temperature,           103.,WOD code,Temperature: ITS-90,
Instrument       ,Temperature,             4.,WOD code,CTD: TYPE UNKNOWN,
scale               ,Salinity,           202.,WOD code,Salinity: PSS78,
CAST                        ,,       22542234,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,GB-13627       ,,,
Originators Cruise ID       ,,74EQ20220209   ,,,
Latitude                    ,,        24.7365,decimal degrees,,
Longitude                   ,,       -23.5525,decimal degrees,,
Year                        ,,           2022,,,
Month                       ,,              2,,,
Day                         ,,             17,,,
Time                        ,,          11.25,decimal hours (UT),,
Accession Number            ,,        248064.,NODC code,,
Platform                    ,,         10484.,OCL code,DISCOVERY (R/V;call sign 2FGX5;built 2013;IMO9588029),
Cast/Tow Number             ,,             1.,,,
Bottom depth                ,,          5042.,meters,,
High resolution CTD - Bottle,,       1321688.,,,
probe_type                  ,,             7.,OCL_code,bottle/rosette/net,
Database origin             ,,            10.,WOD code,WOCE/CCHDO,
Originators flag set to use ,,             1.,WOD code,WOCE,
scale            ,Temperature,           103.,WOD code,Temperature: ITS-90,
Instrument       ,Temperature,             4.,WOD code,CTD: TYPE UNKNOWN,
scale               ,Salinity,           202.,WOD code,Salinity: PSS78,
CAST                        ,,       22542235,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,GB-13627       ,,,
Originators Cruise ID       ,,74EQ20220209   ,,,
Latitude                    ,,        23.7733,decimal degrees,,
Longitude                   ,,       -24.1615,decimal degrees,,
Year                        ,,           2022,,,
Month                       ,,              2,,,
Day                         ,,             19,,,
Time                        ,,         0.0833,decimal hours (UT),,
Accession Number            ,,        248064.,NODC code,,
Platform                    ,,         10484.,OCL code,DISCOVERY (R/V;call sign 2FGX5;built 2013;IMO9588029),
Cast/Tow Number             ,,             1.,,,
Bottom depth                ,,          5089.,meters,,
probe_type                  ,,             7.,OCL_code,bottle/rosette/net,
Database origin             ,,            10.,WOD code,WOCE/CCHDO,
Originators flag set to use ,,             1.,WOD code,WOCE,
scale            ,Temperature,           103.,WOD code,Temperature: ITS-90,
Instrument       ,Temperature,             4.,WOD code,CTD: TYPE UNKNOWN,
scale               ,Salinity,           202.,WOD code,Salinity: PSS78,
CAST                        ,,       22542236,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,GB-13627       ,,,
Originators Cruise ID       ,,74EQ20220209   ,,,
Latitude                    ,,        24.0374,decimal degrees,,
Longitude                   ,,       -23.4603,decimal degrees,,
Year                        ,,           2022,,,
Month                       ,,              2,,,
Day                         ,,             19,,,
Time                        ,,          23.22,decimal hours (UT),,
Accession Number            ,,        248064.,NODC code,,
Platform                    ,,         10484.,OCL code,DISCOVERY (R/V;call sign 2FGX5;built 2013;IMO9588029),
Cast/Tow Number             ,,             1.,,,
Bottom depth                ,,          4993.,meters,,
High resolution CTD - Bottle,,       1321731.,,,
probe_type                  ,,             7.,OCL_code,bottle/rosette/net,
Database origin             ,,            10.,WOD code,WOCE/CCHDO,
Originators flag set to use ,,             1.,WOD code,WOCE,
scale            ,Temperature,           103.,WOD code,Temperature: ITS-90,
Instrument       ,Temperature,             4.,WOD code,CTD: TYPE UNKNOWN,
scale               ,Salinity,           202.,WOD code,Salinity: PSS78,
CAST                        ,,       22542237,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,GB-13627       ,,,
Originators Cruise ID       ,,74EQ20220209   ,,,
Latitude                    ,,        24.9367,decimal degrees,,
Longitude                   ,,       -21.2705,decimal degrees,,
Year                        ,,           2022,,,
Month                       ,,              2,,,
Day                         ,,             21,,,
Time                        ,,          18.63,decimal hours (UT),,
Accession Number            ,,        248064.,NODC code,,
Platform                    ,,         10484.,OCL code,DISCOVERY (R/V;call sign 2FGX5;built 2013;IMO9588029),
Cast/Tow Number             ,,             1.,,,
Bottom depth                ,,          4497.,meters,,
High resolution CTD - Bottle,,       1321745.,,,
probe_type                  ,,             7.,OCL_code,bottle/rosette/net,
Database origin             ,,            10.,WOD code,WOCE/CCHDO,
Originators flag set to use ,,             1.,WOD code,WOCE,
scale            ,Temperature,           103.,WOD code,Temperature: ITS-90,
Instrument       ,Temperature,             4.,WOD code,CTD: TYPE UNKNOWN,
scale               ,Salinity,           202.,WOD code,Salinity: PSS78,
CAST                        ,,       22542238,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,GB-13627       ,,,
Originators Cruise ID       ,,74EQ20220209   ,,,
Latitude                    ,,        27.2246,decimal degrees,,
Longitude                   ,,       -15.4050,decimal degrees,,
Year                        ,,           2022,,,
Month                       ,,              2,,,
Day                         ,,             23,,,
Time                        ,,          21.52,decimal hours (UT),,
Accession Number            ,,        248064.,NODC code,,
Platform                    ,,         10484.,OCL code,DISCOVERY (R/V;call sign 2FGX5;built 2013;IMO9588029),
